"id","name","email","gender","age","average_order","subscribed","job_type","education","monthly_income","job_experience","city"
"1","Antonia","Antonia33@hotmail.com","female","59","255.00","N","Analyst","HSC","62022","41","DHAKA"
"2","Wallace","Wallace_Dibbert44@gmail.com","male","28","962.00","N","Executive","BSC","25835","10","DHAKA"
"3","Mitchell","Mitchell.Jacobi@gmail.com","male","21","686.00","N","Assistant","SSC","29111","3","DHAKA"
"4","Ramon","Ramon91@yahoo.com","male","40","833.00","Y","Manager","MBA","35049","22","DHAKA"
"5","Vera","Vera.Parisian@hotmail.com","female","34","287.00","N","Associate","BBA","32915","16","DHAKA"
"6","Jo","Jo50@gmail.com","female","57","456.00","N","Planner","BBA","54426","39","DHAKA"
"7","Lance","Lance.Klocko@yahoo.com","male","29","232.00","N","Orchestrator","BSC","27385","11","DHAKA"
"8","Anthony","Anthony_Treutel9@hotmail.com","male","54","677.00","N","Facilitator","HSC","61648","36","DHAKA"
"9","Fredrick","Fredrick.Stehr82@hotmail.com","male","51","351.00","N","Liaison","MSC","62087","33","DHAKA"
"10","Brandon","Brandon.Schmeler96@yahoo.com","male","31","967.00","Y","Consultant","MBA","31490","13","DHAKA"
"11","Rosie","Rosie_OKeefe47@hotmail.com","female","44","351.00","N","Developer","MBA","41189","26","DHAKA"
"12","Bradley","Bradley_Hermann@yahoo.com","male","28","979.00","N","Planner","BSC","20474","10","DHAKA"
"13","Gordon","Gordon_Kemmer14@yahoo.com","male","43","989.00","Y","Administrator","HSC","41806","25","DHAKA"
"14","Marta","Marta_Huel18@yahoo.com","female","41","669.00","Y","Planner","MBA","45607","23","DHAKA"
"15","Kristy","Kristy_Lind97@hotmail.com","female","60","473.00","N","Coordinator","BSC","54617","42","DHAKA"
"16","Cassandra","Cassandra36@yahoo.com","female","19","436.00","Y","Architect","HSC","26267","1","DHAKA"
"17","Alyssa","Alyssa_Wuckert@gmail.com","female","21","319.00","Y","Technician","HSC","21484","3","DHAKA"
